name;suitability_class_mean;suitability_class_max;suitability_class_min
Uppsala;5,23952095808383;6;5
Södermanlands;5,60000000000000;7;5
Östergötlands;5,42913385826772;10;3
Jönköpings;5,93886462882096;10;5
Kronobergs;5,56930693069307;10;5
Kalmar;5,67611336032389;7;5
Gotlands;4,88732394366197;9;4
Blekinge;5,04838709677419;6;5
Kristianstads;4,27906976744186;6;2
Skåne;2,92233009708738;5;2
Hallands;5,07438016528926;6;5
Västra Götalands;5,75833333333333;6;5
Älvsborgs;5,67037037037037;10;5
Skaraborgs;5,74863387978142;10;5
Värmlands;6,40089086859688;10;5
Örebro;6,20283018867925;10;4
Västmanlands;6,07894736842105;10;5
Dalarnas;7,38857938718663;10;6
Gävleborgs;7,45661157024793;10;6
Västernorrlands;7,40715502555366;10;6
Stockholms;5,40131578947368;6;5
Jämtlands;8,96095444685466;10;6
Västerbottens;8,38661710037175;10;6
Norrbottens;8,64320000000000;10;6
